id	rateR	rateW
Fragile and conflict affected situations	8.925086024	58.79682613
Finland	91.5144	171.7184915
Fiji	37.1	101.1280666
France	81.9198	98.49547248
Faeroe Islands	90	120.681639
Micronesia, Fed. Sts.	27.8	30.31704797
Gabon	9.2	214.7500375
United Kingdom	89.8441	123.7698841
Georgia	43.1	115.0251043
Ghana	12.3	108.1911482
Guinea	1.6	63.31503903
Gambia, The	14	99.9766937
Guinea-Bissau	3.1	74.09102511
Equatorial Guinea	16.4	67.47338887
Greece	59.8663	116.8206478
Grenada	35	125.5937373
Greenland	65.8	105.9890852
Guatemala	19.7	140.393535
Guam	65.4
Guyana	33	69.41295352
High income	78.20518997	120.2888809
Hong Kong SAR, China	74.2	238.6824325
Honduras	17.8	95.91916853
Heavily indebted poor countries (HIPC)	7.198667372	58.04930511
Croatia	66.7476	114.5095687
Haiti	10.6	69.39885695
Hungary	72.6439	116.4278724
Indonesia	15.82	121.5434067
Isle of Man
India	15.1	70.78318167
Not classified
Ireland	78.2477	102.755635
Iran	31.4	84.24610052
Iraq	9.2	96.10477428
Iceland	96.5468	108.1111263
Israel	70.8	122.8478352
Italy	58.4593	158.8835332
Jamaica	37.8	100.4233288
Jordan	44.2	141.7962745
Japan	86.25	115.1885934
Kazakhstan	54	180.5020819
Kenya	39	70.58942851
Kyrgyz Republic	23.4	121.4498189
Cambodia	6	133.8902393
Kiribati	11.5	16.60951041
St. Kitts and Nevis	80	142.0900149
Korea	84.77	110.9984678
Kosovo
Kuwait	75.46	190.2883477
Latin America & Caribbean (developing only)	45.8126343	113.8419155
Lao PDR	12.5	66.1975734
Lebanon	70.5	80.56367407
Liberia	4.6	59.50978522
Libya	16.5	165.0449946
St. Lucia	35.2	116.3090529
Latin America & Caribbean (all income levels)	46.72404521	114.530667
Latin America and the Caribbean
Least developed countries: UN classification	6.999504901	54.70808513
Low income	7.131597032	52.94322123
Liechtenstein	93.8	97.76574137
Sri Lanka	21.9	95.49632054
Lower middle income	21.19507819	84.80775579
Low & middle income	29.1094343	86.41460965
Lesotho	5	86.30152835
Lithuania	68.4529	151.3449586
Luxembourg	93.7765	148.6426713
Latvia	75.2344	136.5642484
Macao SAR, China	65.8	304.0821011
St. Martin (French part)
Morocco	56	128.5252097
Mexico and Central America
Monaco	90.7	93.74322645
Moldova	48.8	106.0114063
Madagascar	2.2	36.13369614
Maldives	44.1	181.1940074
Middle East & North Africa (all income levels)	39.10947566	110.153803
Mexico	43.46	85.83640136
Marshall Islands	11.7
Middle income	32.73898517	92.09671257
Macedonia	61.2	106.1738133
Mali	2.3	129.0669372
Malta	68.9138	129.7545011
Myanmar	1.2	12.82858801
Middle East & North Africa (developing only)	34.13902752	100.9301024
Montenegro	56.8	159.9499825
Mongolia	17.7	124.1841263
Northern Mariana Islands
Mozambique	5.4	48.00421557
Mauritania	6.2	102.5274559
Mauritius	39	123.2398186
Malawi	5.4	32.33015944
Malaysia	66.97	144.6850309
North America	84.36047388	93.84213035
Namibia	13.9	110.2143649
New Caledonia	66	93.76364544
Niger	1.7	39.2922097
Nigeria	38	73.29196161
Nicaragua	15.5	111.9801766
Netherlands	93.9564	113.7299037
High income: nonOECD	65.68418974	154.5090326
Norway	95.0534	116.4772399
Nepal	13.3	71.46285
New Zealand	82.78	105.7756947
High income: OECD	81.17185161	112.1845883
OECD members	75.39000965	108.5320038
Oman	66.45	154.6459078
Other small states	16.21515745	106.263572
Pakistan	10.9	70.13037598
Panama	42.9	162.9742998
Peru	39.2	98.08298127
Philippines	37	104.5023215
Palau		90.3528062
Papua New Guinea	6.5	40.97654202
Poland	62.8492	150.0184409
Puerto Rico	73.9	83.64642094
North Korea		9.720640052
Portugal	62.0956	113.035602
Paraguay	36.9	103.6893284
Pacific island small states	22.87107377	73.25706061
French Polynesia	56.8	85.57567613
Qatar	85.3	152.6441746
Romania	49.7645	105.5829217
Russia	61.4	152.8353524
Rwanda	8.7	56.80079399
South Asia	13.73782817	70.7005731
Saudi Arabia	60.5	176.4978024
Southern Cone Extended
Sudan	22.7	72.85231291
Senegal	20.9	92.92798275
Singapore	73	155.6006879
Solomon Islands	8	57.57076854
Sierra Leone	1.7	44.13438771
El Salvador	23.1093	136.1874402
San Marino	50.8	116.9549733
Somalia	1.5	49.38267841
Serbia	51.5	119.3917104
Sub-Saharan Africa (developing only)	16.91981021	65.95778502
S. Sudan		25.25835962
Sub-Saharan Africa (all income levels)	16.91938495	65.95900999
Small states	23.91800457	103.9372678
Sao Tome and Principe	23	64.93966102
Suriname	37.4	127.3188497
Slovak Republic	77.8826	113.9111556
Slovenia	72.6756	110.2112117
Sweden	94.7836	124.3952501
Swaziland	24.7	71.46778668
Sint Maarten (Dutch part)
Seychelles	50.4	147.342683
Syria	26.2	55.97464086
Turks and Caicos Islands
Chad	2.3	35.56437683
Togo	4.5	62.53490181
Thailand	28.94	137.9828493
Tajikistan	16	91.8281242
Turkmenistan	9.6	116.893432
Timor-Leste	1.1	57.37594218
Tonga	35	54.59396333
Trinidad and Tobago	63.8	144.9406517
Tunisia	43.8	115.6035799
Turkey	46.25	92.96497103
Tuvalu	37	34.42689348
Tanzania	4.4	55.71793149
Uganda	16.2	44.09069074
Ukraine	41.8	138.0646549
Upper middle income	44.79270153	99.74084178
Uruguay	58.1	154.618466
United States	84.2	95.52954726
Uzbekistan	38.2	74.30678167
St. Vincent and the Grenadines	52	114.6334104
Venezuela	54.9	101.614434
Virgin Islands (U.S.)	45.3
Vietnam	43.9	130.8904335
Vanuatu	11.3	59.34412869
West Bank and Gaza	46.6	73.74053318
World	38.13233855	92.60835568
Samoa	15.3
Yemen	20	69.01477877
South Africa	48.9	147.4645166
Congo	2.2	43.70465113
Zambia	15.4	71.50463179
Zimbabwe	18.5	96.3498668
